x coord,y coord,z coord,rho,u,v,w
0.716667,0.350000,0.000000,0.995693,-0.020182,-0.021642,0.000000
0.750000,0.350000,0.000000,0.996032,-0.020353,-0.026093,0.000000
0.783333,0.350000,0.000000,0.996142,-0.020900,-0.031277,0.000000
0.816667,0.350000,0.000000,0.996680,-0.020663,-0.036222,0.000000
0.850000,0.350000,0.000000,0.996769,-0.019890,-0.040042,0.000000
0.883333,0.350000,0.000000,0.997480,-0.016336,-0.039907,0.000000
0.916667,0.350000,0.000000,0.997372,-0.010536,-0.030753,0.000000
0.950000,0.350000,0.000000,0.997963,-0.002697,-0.016519,0.000000
0.983333,0.350000,0.000000,0.997134,-0.000525,-0.004947,0.000000
0.016667,0.383333,0.000000,0.997861,-0.000282,0.006178,0.000000
0.050000,0.383333,0.000000,0.997497,-0.001333,0.017240,0.000000
0.083333,0.383333,0.000000,0.997631,-0.004719,0.024250,0.000000
0.116667,0.383333,0.000000,0.997405,-0.007483,0.027863,0.000000
0.150000,0.383333,0.000000,0.997252,-0.010435,0.031583,0.000000
0.183333,0.383333,0.000000,0.996962,-0.012650,0.032743,0.000000
0.216667,0.383333,0.000000,0.996653,-0.014450,0.032641,0.000000
0.250000,0.383333,0.000000,0.996335,-0.015524,0.030276,0.000000
0.283333,0.383333,0.000000,0.996017,-0.016162,0.027239,0.000000
0.316667,0.383333,0.000000,0.995758,-0.016404,0.023257,0.000000
0.350000,0.383333,0.000000,0.995514,-0.016483,0.019457,0.000000
0.383333,0.383333,0.000000,0.995342,-0.016477,0.015462,0.000000
0.416667,0.383333,0.000000,0.995185,-0.016478,0.011851,0.000000
0.450000,0.383333,0.000000,0.995092,-0.016501,0.008151,0.000000
0.483333,0.383333,0.000000,0.995014,-0.016531,0.004721,0.000000
0.516667,0.383333,0.000000,0.994988,-0.016584,0.001106,0.000000
0.550000,0.383333,0.000000,0.994989,-0.016596,-0.002320,0.000000
0.583333,0.383333,0.000000,0.995019,-0.016645,-0.006023,0.000000
0.616667,0.383333,0.000000,0.995106,-0.016607,-0.009534,0.000000
0.650000,0.383333,0.000000,0.995177,-0.016671,-0.013431,0.000000
0.683333,0.383333,0.000000,0.995365,-0.016616,-0.017125,0.000000
0.716667,0.383333,0.000000,0.995455,-0.016838,-0.021419,0.000000
0.750000,0.383333,0.000000,0.995776,-0.016930,-0.025691,0.000000
0.783333,0.383333,0.000000,0.995861,-0.017538,-0.030946,0.000000
0.816667,0.383333,0.000000,0.996382,-0.017615,-0.036340,0.000000
0.850000,0.383333,0.000000,0.996439,-0.017667,-0.041592,0.000000
0.883333,0.383333,0.000000,0.997197,-0.015268,-0.043877,0.000000
0.916667,0.383333,0.000000,0.997072,-0.010927,-0.037296,0.000000
0.950000,0.383333,0.000000,0.997847,-0.002938,-0.021679,0.000000
0.983333,0.383333,0.000000,0.996826,-0.000530,-0.006578,0.000000
0.016667,0.416667,0.000000,0.997616,-0.000225,0.006897,0.000000
0.050000,0.416667,0.000000,0.997383,-0.000999,0.019295,0.000000
0.083333,0.416667,0.000000,0.997413,-0.003770,0.027109,0.000000
0.116667,0.416667,0.000000,0.997248,-0.006105,0.030513,0.000000
0.150000,0.416667,0.000000,0.997034,-0.008488,0.033929,0.000000
0.183333,0.416667,0.000000,0.996775,-0.010238,0.034540,0.000000
0.216667,0.416667,0.000000,0.996431,-0.011593,0.033897,0.000000
0.250000,0.416667,0.000000,0.996141,-0.012379,0.031017,0.000000
0.283333,0.416667,0.000000,0.995810,-0.012819,0.027614,0.000000
0.316667,0.416667,0.000000,0.995580,-0.012994,0.023410,0.000000
0.350000,0.416667,0.000000,0.995330,-0.013066,0.019516,0.000000
0.383333,0.416667,0.000000,0.995183,-0.013109,0.015506,0.000000
0.416667,0.416667,0.000000,0.995017,-0.013167,0.011910,0.000000
0.450000,0.416667,0.000000,0.994942,-0.013252,0.008226,0.000000
0.483333,0.416667,0.000000,0.994852,-0.013337,0.004798,0.000000
0.516667,0.416667,0.000000,0.994839,-0.013439,0.001172,0.000000
0.550000,0.416667,0.000000,0.994825,-0.013505,-0.002268,0.000000
0.583333,0.416667,0.000000,0.994867,-0.013602,-0.005999,0.000000
0.616667,0.416667,0.000000,0.994934,-0.013618,-0.009521,0.000000
0.650000,0.416667,0.000000,0.995016,-0.013714,-0.013441,0.000000
0.683333,0.416667,0.000000,0.995179,-0.013665,-0.017089,0.000000
